First Name,Last Name,Constituency,Political Affiliation,Honorific Title,Province,Gender,Row,Column,PID,CID
Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Conservative,,Ontario,F,03,06,1809,8781
Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Liberal,Hon.,Quebec,M,08,23,10524,4
Randall,Garrison,Esquimalt—Saanich—Sooke,NDP,,British Columbia,M,03,33,71995,3
Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,,Quebec,M,02,24,63908,8781
Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Conservative,,Alberta,M,01,22,89226,8781
Mark,Gerretsen,Kingston and the Islands,Liberal,,Ontario,M,10,36,88802,4
Marilène,Gill,Manicouagan,Bloc Québécois,,Quebec,F,00,41,88538,6
Marilyn,Gladu,Sarnia—Lambton,Conservative,,Ontario,F,03,26,88938,8781
Joël,Godin,Portneuf—Jacques-Cartier,Conservative,,Quebec,M,01,26,89407,8781
Pam,Goldsmith-Jones,West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,,British Columbia,F,09,14,89370,4
Ralph,Goodale,Regina—Wascana,Liberal,Hon.,Saskatchewan,M,07,11,1265,4
Karina,Gould,Burlington,Liberal,,Ontario,F,08,32,88715,4
Jacques,Gourde,Lévis—Lotbinière,Conservative,,Quebec,M,02,26,35397,8781
David de Burgh,Graham,Laurentides—Labelle,Liberal,,Quebec,M,10,38,88504,4
Raj,Grewal,Brampton East,Liberal,,Ontario,M,10,39,88694,4
Patty,Hajdu,Thunder Bay—Superior North,Liberal,Hon.,Ontario,F,08,15,88984,4
Cheryl,Hardcastle,Windsor—Tecumseh,NDP,,Ontario,F,01,41,89012,3
Rachael,Harder,Lethbridge,Conservative,,Alberta,F,01,24,89200,8781
Ken,Hardie,Fleetwood—Port Kells,Liberal,,British Columbia,M,10,40,89274,4
T.J.,Harvey,Tobique—Mactaquac,Liberal,,New Brunswick,M,10,41,88370,4
Kent,Hehr,Calgary Centre,Liberal,Hon.,Alberta,M,07,05,89111,4
Randy,Hoback,Prince Albert,Conservative,,Saskatchewan,M,02,29,59148,8781
Mark,Holland,Ajax,Liberal,,Ontario,M,09,33,25508,4
Anthony,Housefather,Mount Royal,Liberal,,Quebec,M,10,42,88558,4
